item,src_count,src_avg,tgt_count,tgt_avg,t,p
単品 ソフトドリンク,463,323.0129589632829,156,291.0576923076923,5.131624063583426,5.457429181441738e-07
ビール,2084,397.13819577735126,906,372.4834437086093,4.580681723594147,4.9578767696147785e-06
囲炉裏焼き,637,491.1868131868132,278,427.6726618705036,4.458878204333338,1.0036809321751841e-05
飲み放題一覧,232,994.3534482758621,29,479.13793103448273,4.763557547535624,2.6088422859661652e-05
付き出し,1747,275.1436748712078,759,256.57971014492756,4.012452355764695,6.315331381685181e-05
単品 果実酒,275,360.4654545454545,131,300.3206106870229,3.519920092156615,0.0004988113711525169
一品料理,751,1820.5113182423436,205,1499.5268292682927,3.0739107334248525,0.0022799313643332353
大和の地酒,412,678.9029126213592,216,634.5277777777778,2.9051809209280393,0.0038529187249595467
山賊の逸品,792,480.55555555555554,358,449.7374301675978,2.8410515915112136,0.004628365707961184
ドリンク,239,811.4267782426779,132,997.2272727272727,-2.8391456468755365,0.004884257395967218
飲み放題メニュー,56,211.5,33,112.06060606060606,2.816080040644541,0.006200847820680796
とり刺身,193,858.4248704663213,88,732.7045454545455,2.6369499964203835,0.009073589014237793
単品 サワー,290,361.82068965517243,142,330.83098591549293,2.591714038657828,0.010036556160606735
大和の和え野菜,390,504.35897435897436,136,457.20588235294116,2.5937025464179655,0.01007043854764919
日本酒,26,977.6923076923077,26,795.8461538461538,2.610613374401823,0.011986295282266446
コース,37,3455.864864864865,7,3157.0,2.6396480703843603,0.012190390328558025
山賊の〆,318,513.0,101,467.83168316831683,2.5259131647355586,0.01245019363185288
麦焼酎グラス,150,546.1933333333334,28,516.2857142857143,2.5182367881905514,0.015931353713197215
山賊の肴,712,318.6320224719101,311,300.7652733118971,2.2468125116110618,0.02502875606787006
馬刺し,155,679.4709677419355,58,610.6896551724138,2.2660423478402527,0.025308626501904057
単品 ウィスキー,636,351.89622641509436,260,333.40384615384613,1.954478610462675,0.05124313524512287
山口の地酒,101,992.2970297029703,21,811.5238095238095,1.8575079548962934,0.07233338902663884
芋焼酎グラス,200,571.745,63,540.1428571428571,1.697751539587678,0.09227774634457162
山賊の揚げ物,770,428.6168831168831,318,406.6509433962264,1.6665163011879665,0.09614292851776264
鮮魚,400,810.6825,148,757.7162162162163,1.2271647484378847,0.22078590944709353
山賊の甘味,74,488.8783783783784,47,520.468085106383,-0.6837393958941136,0.49622188507715814
ワイン,10,696.0,5,624.0,0.6793662204867574,0.5168730777571493
甘,62,347.741935483871,47,357.8723404255319,-0.5212322243316255,0.6033842598188768
単品 リキュール,60,455.8,26,458.0,-0.4196658229890454,0.6766467188927855
溶岩焼き,218,979.6559633027523,67,987.8358208955224,-0.2449611601136461,0.8069349040439072
〆,79,368.60759493670884,46,369.1304347826087,-0.22498140912040274,0.8224809027081385
リキュール,14,374.0,2,373.0,0.13776103291490313,0.9104569472086671
スタンダード２,3,0.0,5,0.0,,
プレミアム１,25,0.0,12,0.0,,
単品 スピリッツ,12,480.0,4,480.0,,
米焼酎グラス,5,240.0,1,600.0,,
紫蘇焼酎グラス,3,550.0,3,550.0,,
