〆,1.069828722002635
とり刺身,2.1571743550095923
コース,1.5833333333333333
スタンダード２,1.0
ドリンク,1.7929044194288095
ビール,1.7855245242990405
プレミアム１,1.0
リキュール,1.037037037037037
ワイン,0.5714285714285714
一品料理,2.6969389819826146
付き出し,2.2772625055546163
単品 ウィスキー,2.0354857435312623
単品 サワー,1.978339975740773
単品 スピリッツ,1.0
単品 ソフトドリンク,1.5752452678391846
単品 リキュール,1.0999999999999999
単品 果実酒,2.669326272537281
囲炉裏焼き,2.213808179937904
大和の和え野菜,2.0300419523176094
大和の地酒,1.5289348533868456
山口の地酒,1.4935197817189634
山賊の〆,1.5109763651838457
山賊の揚げ物,2.02809361883003
山賊の甘味,1.3715664866107344
山賊の肴,1.9056663321277307
山賊の逸品,2.1193037953778253
日本酒,0.7111882046834345
溶岩焼き,1.4286917462099946
甘,1.7414634146341463
米焼酎グラス,4.0
紫蘇焼酎グラス,1.0
芋焼酎グラス,1.083591921171539
飲み放題メニュー,1.318867924528302
飲み放題一覧,1.114797611147976
馬刺し,1.878761773956293
鮮魚,2.0269253752328726
麦焼酎グラス,1.2008298755186722
